entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,se,t,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
6,10,3,3,826,0,73.73,-0.172,2.960,0.188,-0.92,600,182,44,9,35,5.3,15
6,10,3,7,826,0,73.61,-0.236,2.960,0.191,-1.24,605,190,31,3,28,3.8,15
6,10,3,14,826,0,74.46,-0.259,2.960,0.193,-1.34,612,197,17,3,14,2.1,15
6,10,5,3,826,0,66.22,0.228,4.960,0.232,0.98,522,230,74,25,49,9.0,10
6,10,5,7,826,0,66.10,0.128,4.960,0.237,0.54,535,244,47,11,36,5.7,10
6,10,5,14,826,0,66.95,0.122,4.960,0.240,0.51,541,252,33,12,21,4.0,10
6,10,8,3,826,0,59.69,0.849,7.960,0.286,2.97,436,271,119,57,62,14.4,6
6,10,8,7,826,0,58.84,0.771,7.960,0.295,2.61,460,294,72,26,46,8.7,6
6,10,8,14,826,0,59.93,0.825,7.960,0.299,2.76,475,305,46,20,26,5.6,6
6,10,10,3,826,0,55.21,0.916,3.052,0.318,2.88,375,302,149,81,68,18.0,5
6,10,10,7,826,0,54.36,0.940,8.905,0.331,2.84,413,328,85,36,49,10.3,5
6,10,10,14,826,0,55.33,1.028,9.960,0.337,3.05,431,342,53,26,27,6.4,5
6,10,15,3,826,0,48.91,1.180,-0.504,0.384,3.07,272,352,202,132,70,24.5,2
6,10,15,7,826,0,46.61,1.227,-3.335,0.405,3.03,316,387,123,69,54,14.9,2
6,10,15,14,826,0,47.09,1.354,-5.674,0.415,3.26,337,407,82,52,30,9.9,2
6,10,20,3,826,0,44.92,1.189,-3.030,0.431,2.76,193,381,252,178,74,30.5,0
6,10,20,7,826,0,42.25,1.474,-10.040,0.465,3.17,247,423,156,102,54,18.9,0
6,10,20,14,826,0,41.77,1.520,-10.040,0.479,3.17,268,451,107,77,30,13.0,0
6,10,30,3,826,0,42.86,1.445,-4.207,0.487,2.97,90,398,338,264,74,40.9,0
6,10,30,7,826,0,38.62,1.945,-10.040,0.550,3.54,148,451,227,171,56,27.5,0
6,10,30,14,826,0,37.29,2.240,-10.040,0.582,3.85,183,486,157,125,32,19.0,0
6,15,3,3,826,0,79.42,-0.158,2.960,0.226,-0.70,647,123,56,9,47,6.8,11
6,15,3,7,826,0,79.90,-0.196,2.960,0.230,-0.85,656,131,39,4,35,4.7,11
6,15,3,14,826,0,81.36,-0.161,2.960,0.232,-0.69,667,134,25,5,20,3.0,11
6,15,5,3,826,0,71.91,0.119,4.960,0.280,0.42,569,167,90,25,65,10.9,9
6,15,5,7,826,0,72.88,0.083,4.960,0.287,0.29,590,178,58,12,46,7.0,9
