symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
BTCUSDT,PERPETUAL,TRADING,BTC,2019-09-08T17:00:00.000Z,C,2017-08-17,2025-03-24
ETHUSDT,PERPETUAL,TRADING,ETH,2019-11-27T07:00:00.000Z,C,2017-08-17,2025-03-24
BCHUSDT,PERPETUAL,TRADING,BCH,2019-12-19T08:00:00.000Z,A,2019-11-28,2025-03-27
XRPUSDT,PERPETUAL,TRADING,XRP,2020-01-06T08:00:00.000Z,C,2018-05-04,2025-03-25
LTCUSDT,PERPETUAL,TRADING,LTC,2020-01-09T08:00:00.000Z,C,2017-12-13,2025-03-31
TRXUSDT,PERPETUAL,TRADING,TRX,2020-01-15T08:00:00.000Z,C,2018-06-11,2025-05-28
ETCUSDT,PERPETUAL,TRADING,ETC,2020-01-16T08:00:00.000Z,C,2018-06-12,2025-04-15
LINKUSDT,PERPETUAL,TRADING,LINK,2020-01-17T08:00:00.000Z,C,2019-01-16,2024-12-11
XLMUSDT,PERPETUAL,TRADING,XLM,2020-01-20T08:00:00.000Z,C,2018-05-31,2025-04-15
ADAUSDT,PERPETUAL,TRADING,ADA,2020-01-31T08:00:00.000Z,C,2018-04-17,2025-03-28
XMRUSDT,PERPETUAL,TRADING,XMR,2020-02-03T08:00:00.000Z,A,,2020-09-16
DASHUSDT,PERPETUAL,TRADING,DASH,2020-02-04T08:00:00.000Z,C,2019-03-28,2020-06-29
ZECUSDT,PERPETUAL,TRADING,ZEC,2020-02-05T08:00:00.000Z,C,2019-03-21,2025-11-20
XTZUSDT,PERPETUAL,TRADING,XTZ,2020-02-06T08:00:00.000Z,C,2019-09-24,2020-06-29
ATOMUSDT,PERPETUAL,TRADING,ATOM,2020-02-07T12:00:00.000Z,C,2019-04-29,2020-06-22
BNBUSDT,PERPETUAL,TRADING,BNB,2020-02-10T08:00:00.000Z,C,2017-11-06,2025-03-28
ONTUSDT,PERPETUAL,TRADING,ONT,2020-02-11T08:00:00.000Z,C,2018-06-08,2020-06-29
IOTAUSDT,PERPETUAL,TRADING,IOTA,2020-02-12T08:00:00.000Z,C,2018-05-31,2020-07-23
BATUSDT,PERPETUAL,TRADING,BAT,2020-02-13T08:00:00.000Z,C,2019-03-04,2020-07-23
VETUSDT,PERPETUAL,TRADING,VET,2020-02-14T08:00:00.000Z,C,2018-07-25,2021-04-28
NEOUSDT,PERPETUAL,TRADING,NEO,2020-02-17T08:00:00.000Z,C,2017-11-20,2025-03-31
QTUMUSDT,PERPETUAL,TRADING,QTUM,2020-02-20T08:00:00.000Z,C,2018-03-19,2020-06-29
IOSTUSDT,PERPETUAL,TRADING,IOST,2020-02-21T08:00:00.000Z,C,2019-03-22,2020-10-13
THETAUSDT,PERPETUAL,TRADING,THETA,2020-05-27T08:00:00.000Z,C,2019-04-10,2020-10-14
ALGOUSDT,PERPETUAL,TRADING,ALGO,2020-06-16T09:00:00.000Z,C,2019-06-22,2020-07-23
ZILUSDT,PERPETUAL,TRADING,ZIL,2020-06-18T09:00:00.000Z,C,2019-02-19,2020-10-21
KNCUSDT,PERPETUAL,TRADING,KNC,2020-06-22T08:00:00.000Z,A,2020-06-12,2020-07-09
ZRXUSDT,PERPETUAL,TRADING,ZRX,2020-06-24T09:00:00.000Z,C,2019-02-28,2020-09-12
COMPUSDT,PERPETUAL,TRADING,COMP,2020-06-30T09:00:00.000Z,A,2020-06-25,2020-09-08
OMGUSDT,PERPETUAL,SETTLING,OMG,2020-07-02T09:00:00.000Z,U,,
DOGEUSDT,PERPETUAL,TRADING,DOGE,2020-07-10T09:00:00.000Z,C,2019-07-05,2024-12-13
KAVAUSDT,PERPETUAL,TRADING,KAVA,2020-07-28T07:00:00.000Z,C,2019-10-25,2020-09-08
BANDUSDT,PERPETUAL,TRADING,BAND,2020-07-29T07:00:00.000Z,C,2019-09-18,2020-09-08
RLCUSDT,PERPETUAL,TRADING,RLC,2020-07-31T07:00:00.000Z,C,2019-11-14,2022-08-12
WAVESUSDT,PERPETUAL,SETTLING,WAVES,2020-08-12T07:00:00.000Z,A,,2020-11-23
MKRUSDT,PERPETUAL,SETTLING,MKR,2020-08-13T07:00:00.000Z,U,,
