symbol,contractType,status,baseAsset,quoteAsset,onboardDate,onboardIso
BTCUSDT,PERPETUAL,TRADING,BTC,USDT,1567965300000,2019-09-08T17:55:00.000Z
ETHUSDT,PERPETUAL,TRADING,ETH,USDT,1574840700000,2019-11-27T07:45:00.000Z
BCHUSDT,PERPETUAL,TRADING,BCH,USDT,1576745700000,2019-12-19T08:55:00.000Z
XRPUSDT,PERPETUAL,TRADING,XRP,USDT,1578298800000,2020-01-06T08:20:00.000Z
LTCUSDT,PERPETUAL,TRADING,LTC,USDT,1578557100000,2020-01-09T08:05:00.000Z
TRXUSDT,PERPETUAL,TRADING,TRX,USDT,1579075500000,2020-01-15T08:05:00.000Z
ETCUSDT,PERPETUAL,TRADING,ETC,USDT,1579161600000,2020-01-16T08:00:00.000Z
LINKUSDT,PERPETUAL,TRADING,LINK,USDT,1579248000000,2020-01-17T08:00:00.000Z
XLMUSDT,PERPETUAL,TRADING,XLM,USDT,1579507200000,2020-01-20T08:00:00.000Z
ADAUSDT,PERPETUAL,TRADING,ADA,USDT,1580457600000,2020-01-31T08:00:00.000Z
XMRUSDT,PERPETUAL,TRADING,XMR,USDT,1580716800000,2020-02-03T08:00:00.000Z
DASHUSDT,PERPETUAL,TRADING,DASH,USDT,1580803500000,2020-02-04T08:05:00.000Z
ZECUSDT,PERPETUAL,TRADING,ZEC,USDT,1580889600000,2020-02-05T08:00:00.000Z
XTZUSDT,PERPETUAL,TRADING,XTZ,USDT,1580976000000,2020-02-06T08:00:00.000Z
ATOMUSDT,PERPETUAL,TRADING,ATOM,USDT,1581077400000,2020-02-07T12:10:00.000Z
BNBUSDT,PERPETUAL,TRADING,BNB,USDT,1581321600000,2020-02-10T08:00:00.000Z
ONTUSDT,PERPETUAL,TRADING,ONT,USDT,1581408300000,2020-02-11T08:05:00.000Z
IOTAUSDT,PERPETUAL,TRADING,IOTA,USDT,1581494400000,2020-02-12T08:00:00.000Z
BATUSDT,PERPETUAL,TRADING,BAT,USDT,1581581100000,2020-02-13T08:05:00.000Z
VETUSDT,PERPETUAL,TRADING,VET,USDT,1581667200000,2020-02-14T08:00:00.000Z
NEOUSDT,PERPETUAL,TRADING,NEO,USDT,1581929100000,2020-02-17T08:45:00.000Z
QTUMUSDT,PERPETUAL,TRADING,QTUM,USDT,1582185900000,2020-02-20T08:05:00.000Z
IOSTUSDT,PERPETUAL,TRADING,IOST,USDT,1582272300000,2020-02-21T08:05:00.000Z
THETAUSDT,PERPETUAL,TRADING,THETA,USDT,1590566400000,2020-05-27T08:00:00.000Z
ALGOUSDT,PERPETUAL,TRADING,ALGO,USDT,1592298000000,2020-06-16T09:00:00.000Z
ZILUSDT,PERPETUAL,TRADING,ZIL,USDT,1592470800000,2020-06-18T09:00:00.000Z
KNCUSDT,PERPETUAL,TRADING,KNC,USDT,1592815800000,2020-06-22T08:50:00.000Z
ZRXUSDT,PERPETUAL,TRADING,ZRX,USDT,1592989200000,2020-06-24T09:00:00.000Z
COMPUSDT,PERPETUAL,TRADING,COMP,USDT,1593507600000,2020-06-30T09:00:00.000Z
OMGUSDT,PERPETUAL,SETTLING,OMG,USDT,1593680400000,2020-07-02T09:00:00.000Z
DOGEUSDT,PERPETUAL,TRADING,DOGE,USDT,1594371600000,2020-07-10T09:00:00.000Z
