symbol,t0Iso,month,cohort,isIS,category,isBlowup,maePct,shortPct,longPct,btcRet7,btcRet30,btcSma200Gap,aboveSma200,firstOpen,quote24hUSDT,range24Pct,pump24Pct,vol24Pct
ARKM_USDT,2023-07-18T09:00:00.000Z,2023-07,2023H2,IS,CRYPTO_NEW,0,3.274,25.258,-25.338,-0.891,13.645,16.853,1,0.704,56760807,26.592,12.926,3.787
WLD_USDT,2023-07-24T09:00:00.000Z,2023-07,2023H2,IS,CRYPTO_NEW,0,27.065,-15.314,15.234,-0.483,-1.965,14.870,1,2.576,46302979,58.075,12.849,4.279
ARK_USDT,2023-08-15T05:00:00.000Z,2023-08,2023H2,IS,CRYPTO_NEW,0,0.182,13.804,-13.884,0.742,-2.830,8.246,1,0.2923,3730667,9.493,2.600,0.889
CYBER_USDT,2023-08-15T13:00:00.000Z,2023-08,2023H2,IS,CRYPTO_NEW,0,17.645,15.099,-15.179,0.742,-2.830,8.246,1,6.05,41808183,46.905,1.983,4.620
SEI_USDT,2023-08-15T13:00:00.000Z,2023-08,2023H2,IS,CRYPTO_NEW,0,1.626,35.564,-35.644,0.742,-2.830,8.246,1,0.1894,111191177,70.927,48.997,6.990
AUCTION_USDT,2023-09-19T04:00:00.000Z,2023-09,2023H2,IS,CRYPTO_NEW,0,61.450,-0.231,0.151,6.360,2.536,-3.473,0,5.11,2243089,7.708,3.914,1.125
BIGTIME_USDT,2023-10-11T05:00:00.000Z,2023-10,2023H2,IS,CRYPTO_NEW,0,66.476,32.195,-32.275,-0.112,6.012,-2.275,0,0.0547,159312661,339.104,294.150,10.008
GAS_USDT,2023-10-23T12:00:00.000Z,2023-10,2023H2,IS,COMMODITY,1,114.216,-86.883,86.803,10.471,12.854,6.956,1,3.218,6311603,28.492,0.062,2.694
POWR_USDT,2023-10-24T11:00:00.000Z,2023-10,2023H2,IS,CRYPTO_NEW,0,37.686,30.189,-30.269,16.105,24.511,17.882,1,0.2828,9463778,40.334,30.658,4.394
STEEM_USDT,2023-10-25T10:00:00.000Z,2023-10,2023H2,IS,CRYPTO_NEW,0,10.666,-5.629,5.549,19.502,29.294,20.757,1,0.2878,6911927,65.692,16.122,8.585
TIA_USDT,2023-10-31T16:00:00.000Z,2023-10,2023H2,IS,CRYPTO_NEW,0,25.325,-2.468,2.388,4.263,27.950,22.137,1,2.177,102545277,26.594,16.766,3.283
SNT_USDT,2023-11-02T04:00:00.000Z,2023-11,2023H2,IS,CRYPTO_NEW,0,27.111,12.960,-13.040,2.754,28.968,25.307,1,0.0576,8196195,21.966,2.083,2.174
MEME_USDT,2023-11-03T08:00:00.000Z,2023-11,2023H2,IS,CRYPTO_NEW,0,7.914,9.536,-9.616,2.302,27.463,23.447,1,0.02,289678250,59.016,47.010,5.582
SATS_USDT,2023-11-10T09:00:00.000Z,2023-11,2023H2,IS,CRYPTO_NEW,1,129.888,-67.913,67.833,5.093,34.105,28.639,1,1.4e-7,4866719,35.455,6.429,3.448
AGI_USDT,2023-11-17T15:00:00.000Z,2023-11,2023H2,IS,CRYPTO_NEW,0,12.940,-6.283,6.203,-1.480,27.462,25.497,1,0.03117,3769661,23.121,11.389,3.063
