entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
6,10,3,3,485,0,62.06,-0.608,2.960,266,89,130,35,95,26.8,16
6,10,3,7,485,0,66.39,-0.633,2.960,304,101,80,18,62,16.5,16
6,10,3,14,485,0,66.60,-0.733,2.960,319,114,52,4,48,10.7,16
6,10,5,3,485,0,56.91,-0.289,1.393,209,102,174,67,107,35.9,11
6,10,5,7,485,0,59.38,-0.389,4.960,247,122,116,41,75,23.9,11
6,10,5,14,485,0,58.14,-0.495,4.960,269,139,77,13,64,15.9,11
6,10,8,3,485,0,52.37,0.129,0.357,162,113,210,92,118,43.3,5
6,10,8,7,485,0,53.61,0.057,1.002,193,137,155,67,88,32.0,5
6,10,8,14,485,0,51.55,-0.133,0.520,212,160,113,38,75,23.3,5
6,10,10,3,485,0,48.87,-0.082,-0.126,120,128,237,117,120,48.9,3
6,10,10,7,485,0,49.28,-0.073,-0.239,160,156,169,79,90,34.8,3
6,10,10,14,485,0,46.19,-0.340,-1.142,177,182,126,47,79,26.0,3
6,10,15,3,485,0,45.77,0.220,-0.561,87,138,260,135,125,53.6,1
6,10,15,7,485,0,45.98,0.267,-1.090,110,169,206,113,93,42.5,1
6,10,15,14,485,0,42.06,0.030,-2.337,125,200,160,79,81,33.0,1
6,10,20,3,485,0,43.92,0.340,-0.794,67,147,271,146,125,55.9,2
6,10,20,7,485,0,43.30,0.294,-1.622,80,180,225,130,95,46.4,2
6,10,20,14,485,0,38.76,0.011,-3.754,91,213,181,97,84,37.3,2
6,10,30,3,485,0,41.03,0.262,-1.136,41,161,283,158,125,58.4,1
6,10,30,7,485,0,40.00,0.264,-2.801,49,196,240,145,95,49.5,1
6,10,30,14,485,0,35.26,0.012,-6.665,57,230,198,114,84,40.8,1
6,15,3,3,485,0,66.60,-0.538,2.960,288,56,141,35,106,29.1,10
6,15,3,7,485,0,71.55,-0.558,2.960,329,63,93,18,75,19.2,10
6,15,3,14,485,0,72.78,-0.564,2.960,348,69,68,5,63,14.0,10
6,15,5,3,485,0,62.06,-0.123,3.255,234,65,186,67,119,38.4,5
6,15,5,7,485,0,64.95,-0.225,4.960,274,75,136,41,95,28.0,5
6,15,5,14,485,0,65.36,-0.172,4.960,303,84,98,14,84,20.2,5
6,15,8,3,485,0,57.11,0.247,1.268,184,77,224,93,131,46.2,1
6,15,8,7,485,0,58.97,0.206,2.768,218,88,179,68,111,36.9,1
6,15,8,14,485,0,58.56,0.193,6.705,241,100,144,43,101,29.7,1
6,15,10,3,485,0,53.20,-0.137,0.457,139,94,252,119,133,52.0,1
6,15,10,7,485,0,54.23,-0.084,1.239,183,106,196,80,116,40.4,1
6,15,10,14,485,0,53.20,-0.135,1.561,204,122,159,54,105,32.8,1
6,15,15,3,485,0,49.90,0.264,-0.012,104,102,279,138,141,57.5,0
6,15,15,7,485,0,51.34,0.464,0.319,132,116,237,117,120,48.9,0
6,15,15,14,485,0,49.69,0.535,-0.168,152,133,200,89,111,41.2,0
6,15,20,3,485,0,48.45,0.541,-0.154,83,109,293,152,141,60.4,0
6,15,20,7,485,0,48.66,0.569,-0.351,99,126,260,137,123,53.6,0
6,15,20,14,485,0,46.60,0.624,-0.953,113,145,227,113,114,46.8,0
6,15,30,3,485,0,44.95,0.252,-0.631,49,125,311,169,142,64.1,0
