symbol,category,cohort,t0Iso,holdDays,entry,exit,pnlShortPct,pnlLongPct,maePct,mfePct,rawMovePct
ARKM_USDT,CRYPTO_NEW,2023H2,2023-07-18T09:00:00.000Z,1,0.672,0.611,9.0374,-9.1174,3.2738,12.9464,-9.0774
ARKM_USDT,CRYPTO_NEW,2023H2,2023-07-18T09:00:00.000Z,3,0.672,0.627,6.6564,-6.7364,3.2738,16.9643,-6.6964
ARKM_USDT,CRYPTO_NEW,2023H2,2023-07-18T09:00:00.000Z,7,0.672,0.502,25.2576,-25.3376,3.2738,26.7857,-25.2976
ARKM_USDT,CRYPTO_NEW,2023H2,2023-07-18T09:00:00.000Z,14,0.672,0.4923,26.7011,-26.7811,3.2738,28.4226,-26.7411
ARKM_USDT,CRYPTO_NEW,2023H2,2023-07-18T09:00:00.000Z,29,0.672,0.384,42.8171,-42.8971,3.2738,49.3006,-42.8571
WLD_USDT,CRYPTO_NEW,2023H2,2023-07-24T09:00:00.000Z,1,2.01,2.358,-17.3534,17.2734,27.0647,1.0448,17.3134
WLD_USDT,CRYPTO_NEW,2023H2,2023-07-24T09:00:00.000Z,3,2.01,2.18,-8.4977,8.4177,27.0647,1.0448,8.4577
WLD_USDT,CRYPTO_NEW,2023H2,2023-07-24T09:00:00.000Z,7,2.01,2.317,-15.3136,15.2336,27.0647,1.0448,15.2736
WLD_USDT,CRYPTO_NEW,2023H2,2023-07-24T09:00:00.000Z,14,2.01,1.925,4.1889,-4.2689,27.0647,5.1244,-4.2289
WLD_USDT,CRYPTO_NEW,2023H2,2023-07-24T09:00:00.000Z,29,2.01,1.3797,31.3182,-31.3982,27.0647,40.4478,-31.3582
ARK_USDT,CRYPTO_NEW,2023H2,2023-08-15T05:00:00.000Z,1,0.2752,0.2604,5.3379,-5.4179,0.1817,9.9927,-5.3779
ARK_USDT,CRYPTO_NEW,2023H2,2023-08-15T05:00:00.000Z,3,0.2752,0.2476,9.9891,-10.0691,0.1817,17.5145,-10.0291
ARK_USDT,CRYPTO_NEW,2023H2,2023-08-15T05:00:00.000Z,7,0.2752,0.2371,13.8045,-13.8845,0.1817,17.5145,-13.8445
ARK_USDT,CRYPTO_NEW,2023H2,2023-08-15T05:00:00.000Z,14,0.2752,0.2443,11.1882,-11.2682,0.1817,17.5145,-11.2282
ARK_USDT,CRYPTO_NEW,2023H2,2023-08-15T05:00:00.000Z,29,0.2752,0.2979,-8.2885,8.2085,25.7267,17.5145,8.2485
CYBER_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,1,4.67,3.88,16.8765,-16.9565,0.0000,18.6296,-16.9165
CYBER_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,3,4.67,4.23,9.3818,-9.4618,8.5653,21.1991,-9.4218
CYBER_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,7,4.67,3.963,15.0992,-15.1792,17.6445,23.8544,-15.1392
CYBER_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,14,4.67,7.258,-55.4576,55.3776,90.0000,24.6253,55.4176
CYBER_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,29,4.67,4.994,-6.9779,6.8979,252.7409,24.6253,6.9379
SEI_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,1,0.2275,0.1736,23.6523,-23.7323,1.6264,26.4176,-23.6923
SEI_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,3,0.2275,0.1591,30.0259,-30.1059,1.6264,39.3407,-30.0659
SEI_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,7,0.2275,0.1465,35.5644,-35.6444,1.6264,39.3407,-35.6044
SEI_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,14,0.2275,0.1559,31.4325,-31.5125,1.6264,48.0440,-31.4725
SEI_USDT,CRYPTO_NEW,2023H2,2023-08-15T13:00:00.000Z,29,0.2275,0.1169,48.5754,-48.6554,1.6264,51.6923,-48.6154
AUCTION_USDT,CRYPTO_NEW,2023H2,2023-09-19T04:00:00.000Z,1,5.24,6.92,-32.1011,32.0211,37.2137,0.3817,32.0611
AUCTION_USDT,CRYPTO_NEW,2023H2,2023-09-19T04:00:00.000Z,3,5.24,5.75,-9.7728,9.6928,61.4504,0.3817,9.7328
AUCTION_USDT,CRYPTO_NEW,2023H2,2023-09-19T04:00:00.000Z,7,5.24,5.25,-0.2308,0.1508,61.4504,6.1069,0.1908
AUCTION_USDT,CRYPTO_NEW,2023H2,2023-09-19T04:00:00.000Z,14,5.24,5.19,0.9142,-0.9942,61.4504,6.1069,-0.9542
AUCTION_USDT,CRYPTO_NEW,2023H2,2023-09-19T04:00:00.000Z,29,5.24,5.567,-6.2805,6.2005,61.4504,6.1069,6.2405
BIGTIME_USDT,CRYPTO_NEW,2023H2,2023-10-11T05:00:00.000Z,1,0.2094,0.2116,-1.0906,1.0106,66.4756,22.3973,1.0506
BIGTIME_USDT,CRYPTO_NEW,2023H2,2023-10-11T05:00:00.000Z,3,0.2094,0.2484,-18.6646,18.5846,66.4756,22.3973,18.6246
BIGTIME_USDT,CRYPTO_NEW,2023H2,2023-10-11T05:00:00.000Z,7,0.2094,0.1419,32.1950,-32.2750,66.4756,35.1958,-32.2350
BIGTIME_USDT,CRYPTO_NEW,2023H2,2023-10-11T05:00:00.000Z,14,0.2094,0.1436,31.3831,-31.4631,66.4756,37.2015,-31.4231
BIGTIME_USDT,CRYPTO_NEW,2023H2,2023-10-11T05:00:00.000Z,29,0.2094,0.1604,23.3602,-23.4402,66.4756,44.5081,-23.4002
GAS_USDT,COMMODITY,2023H2,2023-10-23T12:00:00.000Z,1,2.645,2.991,-13.1213,13.0413,31.2287,2.1172,13.0813
GAS_USDT,COMMODITY,2023H2,2023-10-23T12:00:00.000Z,3,2.645,3.309,-25.1440,25.0640,31.2287,2.1172,25.1040
GAS_USDT,COMMODITY,2023H2,2023-10-23T12:00:00.000Z,7,2.645,4.942,-86.8831,86.8031,114.2155,2.1172,86.8431
GAS_USDT,COMMODITY,2023H2,2023-10-23T12:00:00.000Z,14,2.645,12.052,-355.6922,355.6122,429.2628,2.1172,355.6522
GAS_USDT,COMMODITY,2023H2,2023-10-23T12:00:00.000Z,29,2.645,7.585,-186.8075,186.7275,996.4083,2.1172,186.7675
POWR_USDT,CRYPTO_NEW,2023H2,2023-10-24T11:00:00.000Z,1,0.3232,0.3811,-17.9546,17.8746,37.6856,10.3342,17.9146
POWR_USDT,CRYPTO_NEW,2023H2,2023-10-24T11:00:00.000Z,3,0.3232,0.2366,26.7546,-26.8346,37.6856,30.8168,-26.7946
POWR_USDT,CRYPTO_NEW,2023H2,2023-10-24T11:00:00.000Z,7,0.3232,0.2255,30.1890,-30.2690,37.6856,31.0334,-30.2290
POWR_USDT,CRYPTO_NEW,2023H2,2023-10-24T11:00:00.000Z,14,0.3232,0.2288,29.1679,-29.2479,37.6856,34.9629,-29.2079
POWR_USDT,CRYPTO_NEW,2023H2,2023-10-24T11:00:00.000Z,29,0.3232,0.2659,17.6890,-17.7690,37.6856,43.8428,-17.7290
STEEM_USDT,CRYPTO_NEW,2023H2,2023-10-25T10:00:00.000Z,1,0.2147,0.2065,3.7793,-3.8593,7.2660,7.3591,-3.8193
STEEM_USDT,CRYPTO_NEW,2023H2,2023-10-25T10:00:00.000Z,3,0.2147,0.2179,-1.5305,1.4505,7.2660,7.3591,1.4905
STEEM_USDT,CRYPTO_NEW,2023H2,2023-10-25T10:00:00.000Z,7,0.2147,0.2267,-5.6292,5.5492,10.6660,7.3591,5.5892
STEEM_USDT,CRYPTO_NEW,2023H2,2023-10-25T10:00:00.000Z,14,0.2147,0.3201,-49.1318,49.0518,56.5906,7.3591,49.0918
STEEM_USDT,CRYPTO_NEW,2023H2,2023-10-25T10:00:00.000Z,29,0.2147,0.2604,-21.3255,21.2455,56.5906,7.3591,21.2855
TIA_USDT,CRYPTO_NEW,2023H2,2023-10-31T16:00:00.000Z,1,2.306,2.341,-1.5578,1.4778,25.3252,2.1249,1.5178
TIA_USDT,CRYPTO_NEW,2023H2,2023-10-31T16:00:00.000Z,3,2.306,2.412,-4.6367,4.5567,25.3252,3.7294,4.5967
TIA_USDT,CRYPTO_NEW,2023H2,2023-10-31T16:00:00.000Z,7,2.306,2.362,-2.4684,2.3884,25.3252,3.7728,2.4284
TIA_USDT,CRYPTO_NEW,2023H2,2023-10-31T16:00:00.000Z,14,2.306,6.377,-176.5795,176.4995,183.8682,3.7728,176.5395
TIA_USDT,CRYPTO_NEW,2023H2,2023-10-31T16:00:00.000Z,29,2.306,6.41,-178.0105,177.9305,221.3356,3.7728,177.9705
SNT_USDT,CRYPTO_NEW,2023H2,2023-11-02T04:00:00.000Z,1,0.05223,0.0566,-8.4068,8.3268,14.3021,6.6820,8.3668
SNT_USDT,CRYPTO_NEW,2023H2,2023-11-02T04:00:00.000Z,3,0.05223,0.0505,3.2723,-3.3523,27.1109,6.6820,-3.3123
SNT_USDT,CRYPTO_NEW,2023H2,2023-11-02T04:00:00.000Z,7,0.05223,0.04544,12.9602,-13.0402,27.1109,23.2242,-13.0002
SNT_USDT,CRYPTO_NEW,2023H2,2023-11-02T04:00:00.000Z,14,0.05223,0.04353,16.6171,-16.6971,27.1109,23.2242,-16.6571
SNT_USDT,CRYPTO_NEW,2023H2,2023-11-02T04:00:00.000Z,29,0.05223,0.04298,17.6701,-17.7501,27.1109,28.8914,-17.7101
MEME_USDT,CRYPTO_NEW,2023H2,2023-11-03T08:00:00.000Z,1,0.024374,0.023404,3.9397,-4.0197,7.9142,6.1828,-3.9797
MEME_USDT,CRYPTO_NEW,2023H2,2023-11-03T08:00:00.000Z,3,0.024374,0.019819,18.6479,-18.7279,7.9142,22.8645,-18.6879
MEME_USDT,CRYPTO_NEW,2023H2,2023-11-03T08:00:00.000Z,7,0.024374,0.02204,9.5358,-9.6158,7.9142,35.4722,-9.5758
MEME_USDT,CRYPTO_NEW,2023H2,2023-11-03T08:00:00.000Z,14,0.024374,0.026537,-8.9142,8.8342,69.1885,35.4722,8.8742
