block,universe,regime,bucket,filter,dir,holdDays,n,mean,median,sd,se,t,winPct,maeP95,maeP99,exWorst10
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,1,14,3.9437,1.8734,15.5766,4.1630,0.9473,64.29,32.394,36.645,20.8464
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,3,14,4.0199,3.2650,20.7660,5.5500,0.7243,57.14,42.467,49.539,28.7582
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,7,14,0.3921,17.0191,55.8480,14.9260,0.0263,71.43,135.153,253.159,43.2379
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,14,14,6.1296,9.5790,38.3255,10.2429,0.5984,64.29,149.856,256.100,45.7588
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,short,29,14,2.0476,11.9425,64.5075,17.2403,0.1188,71.43,229.471,272.023,54.2174
regime,CRYPTO_NEW,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,1,163,-2.0083,3.3252,28.7792,2.2542,-0.8909,61.35,70.611,200.478,3.8405
regime,CRYPTO_NEW,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,3,163,-0.0599,7.2847,36.0267,2.8218,-0.0212,65.64,115.503,239.395,7.0201
regime,CRYPTO_NEW,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,7,163,-8.9733,11.7284,135.8675,10.6420,-0.8432,66.26,198.042,409.489,9.7249
regime,CRYPTO_NEW,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,14,163,-8.2704,11.4928,93.2513,7.3040,-1.1323,61.96,277.807,532.268,9.2330
regime,CRYPTO_NEW,R1 BTC 7d ret,FLAT (-5..+5%),F0 no filter,short,29,163,-16.7843,10.4245,118.8037,9.3054,-1.8037,57.06,364.657,848.355,5.7481
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,1,74,-2.7804,1.8930,24.7595,2.8782,-0.9660,60.81,51.036,156.832,4.5591
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,3,74,0.6969,5.9281,28.1791,3.2758,0.2127,59.46,104.468,182.296,9.2509
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,7,74,-1.8166,7.9618,55.1167,6.4072,-0.2835,63.51,162.594,293.788,13.4906
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,14,74,-6.4146,9.4554,60.3681,7.0176,-0.9141,62.16,169.529,311.516,11.1799
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,short,29,74,-12.1899,6.0555,77.9330,9.0595,-1.3455,51.35,222.157,451.211,11.5205
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,1,14,-4.0237,-1.9534,15.5766,4.1630,-0.9665,35.71,32.394,36.645,11.8411
regime,CRYPTO_NEW,R1 BTC 7d ret,DOWN (<=-5%),F0 no filter,long,3,14,-4.0999,-3.3450,20.7660,5.5500,-0.7387,42.86,42.467,49.539,18.1579
